gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3051551523	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044923_lg.jpg											
3051551522	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044925.jpg											
3051551521	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044924.jpg											
3051551520	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044918_lg.jpg											
3051551519	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044921_lg.jpg											
3051551518	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044930.jpg											
3051551517	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044932_lg.jpg											
3051551516	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044933.jpg											
3051551511	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044937.jpg											
3051551510	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044939_lg.jpg											
3051551509	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044816_lg.jpg											
3051551508	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044940_lg.jpg											
3051551507	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044817.jpg											
3051551506	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044883.jpg											
3051551505	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044820_lg.jpg											
3051551504	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044887_lg.jpg											
3051551503	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044893_lg.jpg											
3051551502	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044935.jpg											
3051551501	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044891.jpg											
3051551500	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044884.jpg											
3051551499	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044888.jpg											
3051551498	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044890.jpg											
3051551497	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044889.jpg											
3051551496	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044898.jpg											
3051551495	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044896.jpg											
3051551494	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044897.jpg											
3051551493	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044908.jpg											
3051551492	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044911_lg.jpg											
3051551491	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044905_lg.jpg											
3051551490	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044907.jpg											
3051551489	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044902.jpg											
3051551488	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044903.jpg											
3051551487	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044798.jpg											
3051551486	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044900_lg.jpg											
3051551485	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044899_lg.jpg											
3051551484	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044793.jpg											
3051551483	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044801.jpg											
3051551482	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044803.jpg											
3051551481	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044797_lg.jpg											
3051551480	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044796_lg.jpg											
3051551479	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044808.jpg											
3051551478	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044790.jpg											
3051551477	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044806_lg.jpg											
3051551476	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044799.jpg											
3051551475	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044802_lg.jpg											
3051551474	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044792.jpg											
3051551473	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044800.jpg											
3051551472	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044813.jpg											
3051551471	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044807_lg.jpg											
3051551470	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044775_lg.jpg											
3051551469	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044804_lg.jpg											
3051551468	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044815_lg.jpg											
3051551467	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044805.jpg											
3051551466	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044814_lg.jpg											
3051551465	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044774.jpg											
3051551464	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044810_lg.jpg											
3051551463	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044811.jpg											
3051551462	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044812_lg.jpg											
3051551461	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044782_lg.jpg											
3051551460	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044773.jpg											
3051551459	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044779_lg.jpg											
3051551458	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044788.jpg											
3051551457	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044776.jpg											
3051551456	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044777_lg.jpg											
3051551455	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044781.jpg											
3051551454	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044783.jpg											
3051551453	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044784_lg.jpg											
3051551452	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044789.jpg											
3051551451	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044780.jpg											
3051551450	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044787_lg.jpg											
3051551449	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044688_lg.jpg											
3051551448	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044689.jpg											
3051551447	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044692_lg.jpg											
3051551446	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044687.jpg											
3051551445	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044694_lg.jpg											
3051551444	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044699.jpg											
3051551443	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044696.jpg											
3051551442	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044695.jpg											
3051551441	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044700_lg.jpg											
3051551440	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044693.jpg											
3051551439	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044764_lg.jpg											
3051551438	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044765_lg.jpg											
3051551437	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044762.jpg											
3051551436	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044763.jpg											
3051551435	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044761.jpg											
3051551434	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044772_lg.jpg											
3051551433	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044770_lg.jpg											
3051551432	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044771_lg.jpg											
3051551431	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044766_lg.jpg											
